|Date received|Product|Sub-product|Issue|Sub-issue|Consumer complaint narrative|Company public response|Company|State|ZIP code|Tags|Consumer consent provided?|Submitted via|Date sent to company|Company response to consumer|Timely response?|Consumer disputed?|Complaint ID
10|09/07/24|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|"Equifax Information Services LLC XXXX XXXX XXXX XXXX, GA XXXX Dear Sir or Madam : Subject : Dispute of Negative Credit Information Resulting from Equifax Data Breach I am writing to dispute inaccurate and negative information that has been reported on my credit report as a result of the data breach that Equifax suffered. As you are aware, the breach exposed sensitive personal information, including names, Social Security numbers, birth dates, addresses, and in some cases, driver 's license numbers. As a result of this breach, I believe that fraudulent activity may have affected my credit report and resulted in inaccurate reporting. 

Under the Fair Credit Reporting Act ( FCRA ), I am entitled to dispute any information that I believe to be incorrect or the result of identity theft. According to Section 611 of the FCRA ( 15 U.S.C. 1681i ), credit reporting agencies are required to investigate disputes, and if any information is found to be inaccurate or unverifiable, it must be promptly corrected or removed from the credit report. 

Specifically, I am disputing the following items on my credit report : XXXX XXXX - Account number : XXXX XXXX XXXX  - Account Number : XXXX XXXXXXXX XXXX XXXX - Account Number : XXXX XXXX - Account Number : XXXX XXXX - Account Number : XXXX I am requesting that these items be investigated and corrected or removed from my credit report. I believe they are the result of fraudulent activity and should not reflect negatively on my credit history. 

Please investigate this matter and provide a response within the 30-day period required under the FCRA. I also request that Equifax send me a copy of the corrected report once the investigation is complete, and that any corrections be communicated to other credit reporting agencies. 

In the meantime, I ask that a note be added to my file stating that this information is disputed and under investigation in compliance with Section 611 of the FCRA. 

Attached are copies of my identification, proof of address, and any supporting documentation related to this dispute. I appreciate your prompt attention to this matter and look forward to your timely resolution. 

Sincerely, XXXX XXXX"||EQUIFAX, INC.|CA|91101||Consent provided|Web|09/07/24|Closed with non-monetary relief|Yes||10034960
11|01/10/24|Credit card|General-purpose credit card or charge card|Getting a credit card|Card opened without my consent or knowledge|American Expressed approved a card without my knowledge and because I dont possess the fraudulent information used to open account.access denied. None of the personal identifiable information matched and Amex wont take a fraud report. I first noticed the fraud in XX/XX/, when I started to get collection bills and a letter changing my address. I have since reached out to Amex and local police department without getting any help. Local law ( XXXX XXXX ) enforcement agency states its a civil matter.||AMERICAN EXPRESS COMPANY|FL|32221|Servicemember|Consent provided|Web|01/10/24|Closed with non-monetary relief|Yes||8142607
12|04/02/24|Debt collection|I do not know|Attempts to collect debt not owed|Debt is not yours|"This serves as an effort to rectify inaccurate information present in my credit report as published by your company. Following a credit denial attributed to the dissemination of inaccurate details, I wish to formally communicate that I did not provide authorization or instructions for the inclusion of these specific transactions in my consumer report. 
I am formally requesting the blocking and deletion of these accounts. 
It is crucial to emphasize that this request is not erroneous and is not grounded in any material misrepresentation concerning the necessity to block these transactions. The following are the accounts that I wish to remove from my credit report :"|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|CA|90815||Consent provided|Web|04/02/24|Closed with non-monetary relief|Yes||8682486
13|05/03/24|Debt collection|Auto debt|Took or threatened to take negative or legal action|Sued you in a state where you do not live or did not sign for the debt|On XX/XX/year>, I requested verification from SAC Finance on a collection/charge-off through a letter. I also have provided my current information in this same letter date to the credit bureaus. I am aware that as per 15 U.S.C. Sec. 1681i ( a ), you must complete this reinvestigation within 30 days of receiving this letter. They did not respond to my request for validation. Instead, on XX/XX/year>, they filed a lawsuit against my behalf ( up to {$15000.00} ), when the debt that I am asking for verification is less than {$15000.00}. They filed a lawsuit against my behalf in a jurisdiction where I no longer reside. I have not lived in that jurisdiction for almost a year and have provided current address/information to credit bureaus on XX/XX/year>. Not only that, their business is not a registered business in the XXXXXXXX XXXX XXXX. Doing this, is a violation of the Federal Trade Commission XXXX as it is an unfair, deceptive, and abusive practice of a debt collector/ creditor. Not only that, instead of my taking my response as serious, XXXX and XXXX just gave me a generic letter refusing to investigate my concerns on my credit report. XXXX provided me with this frivolous letter on XX/XX/year>. XXXX provided me with their frivolous letter on XX/XX/year>. XXXX has not responded at this current date.|Company believes it acted appropriately as authorized by contract or law|Superior Holdings, LLC|IN|47906||Consent provided|Web|05/06/24|Closed with explanation|Yes||8911968
14|10/22/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Their investigation did not fix an error on your report|"Subject : * * Formal Complaint Against TransUnion for Violations of the Fair Credit Reporting Act ( 15 U.S.C. 1681 et seq. ) To Whom It May Concern : I am writing to file a formal complaint against * * TransUnion, LLC * * for its ongoing * * failure to remove inaccurate, unverifiable, and fraudulent information * * from my consumer credit file, in direct violation of the * * Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681 et seq. * * Despite multiple disputes and formal written notices, TransUnion has continued to publish * * erroneous accounts and collection items * * that contradict both * * XXXX  * * and * * XXXX  * * reports and for which no valid proof of indebtedness has ever been provided.

Background and Identity Theft Over the past ten years, I have been * * incarcerated * *, during which time I had * * no capacity to open, manage, or authorize any credit accounts. * * During that period, my personal identifying information was compromised and used in * * identity theft * * cases, possibly linked to * * data breaches * *. 

Since my release, I have repeatedly contacted TransUnion to dispute these fraudulent entries. However, its investigations have failed to yield any documentary proof or legitimate verification.

Accounts and Collections Reported by TransUnion Below are the * * current accounts and collections * * TransUnion continues to report inaccurately, with comparison to * * XXXX  * * and * * XXXX  * * records : * * XXXX XXXX XXXX/ XXXX XXXX ( XXXX ... ) * * | Account 120 Days Past Due ; Closed XX/XX/XXXX | XXXX  : Open, {$73.00} past due ; XXXX  : Closed, Paid | Conflicting status and payment history. 
| * * XXXX XXXX XXXX/ XXXX XXXX ( XXXX ... ) * * | Paid, Closed ; was Paid as Agreed | XXXX  : Paid, Closed ; XXXX : No delinquency | Consistent closure, but TransUnion incorrectly shows past delinquency months. 

* * XXXX XXXX * * | Paid, Closed ; was 120 Days Past Due | XXXX  : Settled for less than full balance ; XXXX  : Paid as agreed | Severity of delinquency and resolution differ across bureaus. 

* * XXXX XXXX XXXX  * * | Charge-off {$460.00} ; Limit {$300.00} | XXXX  & XXXX  XXXX XXXX off but dated XXXX | Date of charge-off inconsistent by 812 months. 

* * XXXX XXXX XXXX XXXX XXXX * * | Collection {$890.00} ; Dispute resolvedconsumer disagrees | XXXX  : Consumer disputes after resolution ; XXXX  : not listed | TransUnion and XXXX  both list but differ in dispute notation and report date. 

* * XXXX & XXXX ( XXXX XXXX ) * * | Collection {$180.00} ; reported XX/XX/XXXX | XXXX  & XXXX  : similar amount but reported as closed collection | TU lists as open, indicating continued delinquency post-closure. | | * * XXXX XXXX XXXX XXXX XXXX * * | Collection {$9800.00} ; opened XX/XX/XXXX | Absent from both XXXX  and XXXX  | No record exists elsewherelikely fraudulent or unverifiable. 

* * XXXX XXXX XXXX * * | Charge-off {$9800.00} ; reported XX/XX/XXXX | XXXX  : same account reported as charge-off XX/XX/XXXX ; XXXX  : deleted | TransUnions earlier reported date and active collection contradict XXXX  charge-off date. 

* * XXXX XXXX XXXX XXXX * * | Closed ; 60-day delinquency in XX/XX/XXXX | Equifax : XXXX ; XXXX  : Paid as agreed | False delinquency entry appears only on TransUnion. 

Legal Grounds for Deletion 1. * * Failure to Reinvestigate 15 U.S.C. 1681i ( a ) * * TransUnion is required to conduct a * * reasonable reinvestigation * * within 30 days of receiving a dispute. To date, TransUnion has failed to provide documentation, validation, or certified verification of the alleged debts. 

2. * * Reporting Incomplete or Inaccurate Information 15 U.S.C. 1681e ( b ) * * TransUnions reporting of contradictory, inconsistent, and unverifiable information demonstrates * * negligent or willful noncompliance * * with accuracy requirements.

3. * * Failure to Block Identity Theft Information 15 U.S.C. 1681c-3 * * After being notified of identity theft and provided supporting documentation, TransUnion is legally required to * * block and remove all fraudulent information * *. Continued reporting constitutes ongoing harm and noncompliance.

4. * * Estoppel by Silence Engelhardt v. Gravens, 281 S.W. 715, 719 ( Mo. 1926 ) * * Neither TransUnion nor furnishers such as * * XXXX XXXX XXXX XXXX XXXX * * have provided * * any signed agreement, contract, or itemized statement * *. Under this doctrine, their continued silence establishes a * * presumption that no valid debt exists * *. 
5. * * Failure to Cease Communication 15 U.S.C. 1692c * * I hereby * * revoke all consent * * for TransUnion or any of its furnishers to contact, report, or communicate further regarding the disputed accounts.

Requested Action I respectfully request that the * * Consumer Financial Protection Bureau ( CFPB ) * * enforce TransUnions compliance with federal consumer protection law and require the following : 1. * * Immediate deletion * * of all unverifiable, inconsistent, and fraudulent accounts listed above.

2. * * Written confirmation * * from TransUnion that each deleted account has been permanently removed. 
3. * * Full compliance * * with the reinvestigation and verification provisions of 1681i.

Conclusion TransUnions actions constitute a * * willful violation * * of the Fair Credit Reporting Act. Its repeated refusal to delete unverifiable items has caused ongoing credit denials, emotional distress, and financial harm. I request the CFPB to * * investigate XXXX systemic failure * * to comply with federal law and compel corrective action. 

Respectfully, XXXX XXXX"|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|FL|32025||Consent provided|Web|10/22/25|Closed with non-monetary relief|Yes||16751990
15|06/09/25|Vehicle loan or lease|Loan|Incorrect information on your report|Account status incorrect|"I am reaching out with a sincere and respectful request regarding the way my recently paid auto loan is being reported to the credit bureaus. 

The account in question was opened on XX/XX/XXXX, and closed on XX/XX/XXXX, with an original loan amount of {$71000.00}. I am proud to say that this loan was paid in full, exactly as agreed, with no missed or late payments. However, Ive noticed that the reporting to XXXX XXXX, and XXXX  does not consistently or clearly reflect this positive payment history. 

Specifically : The account appears as /closed, but it does not specify Paid in Full as Agreed or Never Late.

The inconsistent information across the three major bureaus results in an inaccurate portrayal of my creditworthiness, despite my full compliance with the loan terms. 

As you may know, under the Fair Credit Reporting Act ( FCRA ) including but not limited to 15 U.S.C. 1681e ( b ) ( requiring maximum possible accuracy ), and 15 U.S.C. 1681s-2 ( b ) ( requiring furnishers to correct and update information ) consumers are entitled to have their credit histories reported fairly and accurately. Additionally, per 15 U.S.C. 1681i, I have the right to request a reinvestigation of any incomplete or incorrect data.

I have attempted to resolve this through the standard customer service channels without success, which is why I now kindly request your help at the leadership level."||BMW Financial Services NA, LLC|TX|770XX||Consent provided|Web|06/09/25|Closed with explanation|Yes||13979823
16|04/17/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|Greetings, I appreciate your attention to this matter. My name is XXXX XXXX. I have been notified that I am a victim of the Equifax data breach, which has resulted in the theft of my identity. I am requesting the enforcement of my consumer rights as specified in FCRA SECTION 605B ( 15 U.S.C. 1681c-2 ). Please remove all fraudulent information from my credit report promptly.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|GA|310XX||Consent provided|Web|04/17/25|Closed with non-monetary relief|Yes||13036395
17|01/07/25|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|My name is XXXX XXXX XXXX and this is not a third party filing this complaint. I would like to bring to your attention that my information was used while I was XXXX. I see accounts on my report that I did not authorize at all. Please see attached documentation.|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|DE|199XX||Consent provided|Web|01/07/25|Closed with non-monetary relief|Yes||11422722
18|10/12/23|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Reporting company used your report improperly|REMOVAL OF THE FRAUD ALERTS and SECURITY FREEZE on my personal credit file and to update my identification.||EQUIFAX, INC.|GA|317XX||Consent provided|Web|10/12/23|Closed with non-monetary relief|Yes||7688685
19|12/11/22|Credit card or prepaid card|General-purpose credit card or charge card|Fees or interest|Charged too much interest|I reached out to Capital One about an almost 30 % apr on a credit card for several reasons. One ; that was not the promotional and or advertised rate for the card. Two ; the rate was almost double the national average. Three ; my XXXX XXXX and XXXX XXXX combined did not equal the Capital One credit card. They refused to review the apr and instead told me to make 3 or more payments each month.||CAPITAL ONE FINANCIAL CORPORATION|NY|11233||Consent provided|Web|12/11/22|Closed with explanation|Yes||6305940
20|06/22/23|Credit reporting, credit repair services, or other personal consumer reports|Credit reporting|Improper use of your report|Credit inquiries on your report that you don't recognize|"I have submitted a claim to the three credit bureaus to validate or delete these following accounts but they responded back with them being verified and accurate when they in fact, are not. My credit report is inconsistent and inaccurate and the following account must be deleted. 

XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX ( Duplicate ) XXXX XXXX XXXX XXXX XXXX ( Duplicate ) XXXX XXXX In accordance with the Fair Credit Reporting Act Convergent these Creditors have violated my rights. 15 U.S Code 1681 Section 602 A. States I have the right to privacy.15 U.S Code 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish an account without my written instructions."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|Experian Information Solutions Inc.|PR|XXXXX||Consent provided|Web|06/22/23|Closed with explanation|Yes||7154788
21|03/04/22|Credit reporting, credit repair services, or other personal consumer reports|Credit reporting|Incorrect information on your report|Information belongs to someone else|"I have a case of identity theft. I have had this since XXXX. This person ( female ) uses a XXXX  ID, XXXX ID and has a copy of my social security card. This person has taken out many loans, credit cards and purchased cars under my name. This person has taken mail out my box and cashed checks mailed to me. I have a claim with USPS. And IRS sent another check. Its all on my credit report. 

Since XXXX I have been unable to work in a full time status and now I cant work. So, the fraudster is stating a large income to succeed at obtaining these loans and material objects. And its affecting my need for social services o need to live.

My banking was hacked 3 times in 6 months in XXXX. I had to cancel all account and use debit cards I manually turn on/off when using. 

I get countless calls about these fraudulent accounts. I want it to stop. The harassment is causing XXXX XXXXXXXX and more XXXX."||LEXISNEXIS|IL|604XX|Servicemember|Consent provided|Web|03/21/22|Closed with explanation|Yes||5288406
22|12/01/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Investigation took more than 30 days|"I previously submitted a letter addressing the inaccuracies and unfamiliar items on my credit report. However, it has now been over 30 days, and I have not received a response. It appears my disputes are being disregarded, which raises serious concerns. Under Section 611 ( a ) of the Fair Credit Reporting Act ( FCRA ), credit reporting agencies are required to investigate disputed items within 30 days. If they fail to do so, these items must be removed from my report.

As more than 30 days have passed, I expect immediate updates to my credit report reflecting the removal of these disputed accounts. Should this not be addressed promptly, I will be left with no option but to pursue legal action to resolve this issue, as the continued inaction has caused significant stress. 

Moreover, I was affected by the Equifax, Experian, and TransUnion data breaches, which heightens my concern regarding the security and handling of my personal information."||EQUIFAX, INC.|AR|71603||Consent provided|Web|12/01/25|Closed with non-monetary relief|Yes||17622314
23|03/07/25|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Their investigation did not fix an error on your report|I am filing a complaint against Equifax for the improper investigation of false information affecting my credit report|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|CA|95757||Consent provided|Web|03/07/25|Closed with explanation|Yes||12344335
24|05/09/25|Credit reporting or other personal consumer reports|Credit reporting|Improper use of your report|Reporting company used your report improperly|"Hello, this is in regards to. XXXX reinstatement letters Defined by IRS as unlawful Charge off accounts can not be placed on a consumers reports I contacted the Attorney General office in your state. And I found the complaint I will be receiving an advocate to help fight for me with you guys. You will be receiving a complaint from the XXXX CFPB and now the Attorney Generals. Looking forward to going to court. 

I will be including evidence of the validation letter that you guys failed to respond to on XX/XX/year> The reinstatement letters. That you guys are sending three at a time every day to the credit agencies. Equifax, XXXX XXXX XXXX  I am wondering if you guys are attaching. The resolution results?. The investigation that XXXX made Im only asking for competent evidence. Bearing the results thats connecting me to this obligation. I will be copying this and attaching this as evidence to the Attorney Generals portal. 

I would simply like to know the breakdown how you guys got to that amount is that including insurance? Do you guys have the original documentation with my signature? This is a fraud account. 

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1692 Section 805 A States a debt collector may not communicate with a consumer in connection with the collection of any debt at any unusual time or place or a time or place known or which should be known to be inconvenient to the consumer.

In accordance with the Fair Credit Reporting Act 15 U.S.C 1681 & Fair Debt Collection Practices Act 15 U.S.C 1692 XXXX  Account # XXXX, has violated my rights. 
15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish an account without my written instructions. Y"||EQUIFAX, INC.|CA|94588|Servicemember|Consent provided|Web|05/09/25|Closed with non-monetary relief|Yes||13405852
25|12/28/24|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Their investigation did not fix an error on your report|"XX/XX/XXXX Subject : Formal Complaint Regarding Inaccurate Late Payment Reporting on Account XXXX XXXX  Dear CFPB, I am filing a formal complaint against both XXXX and TransUnion for failing to correct inaccurate information regarding late payments reported on my credit report for the account XXXX XXXX. Despite multiple requests for correction through letters dated XX/XX/XXXX and XX/XX/XXXX, my requests have been ignored. Since my last dispute, nothing has changed. This ongoing inaction constitutes clear violations of the Fair Credit Reporting Act ( FCRA ) and the Truth in Lending Act ( TILA ). 
Errors and Discrepancies : Last Verified Date : This information is only reported by TransUnion ( XX/XX/XXXX ), while XXXX has failed to provide any verification date. The absence of this information from XXXX report indicates a lack of thorough investigation and resolution as required by federal law. 
Closed Date : TransUnion reports a closed date of XX/XX/XXXX, but XXXX does not include this information. This inconsistency creates confusion and misrepresents the account 's actual status.

Account Status : Both bureaus incorrectly report the account as "" Closed, '' which contradicts the accounts true and accurate status. This error significantly impacts my creditworthiness and raises questions about the integrity of the reporting process.

Consequences of Reporting Errors : These inaccuracies have caused undue harm to my financial reputation and credit score. The erroneous reporting has led to : Difficulty in obtaining new lines of credit or financial products due to lowered creditworthiness.

Increased interest rates on existing accounts. 
Emotional distress and financial uncertainty caused by the repeated need to dispute these errors. 
Violations : Fair Credit Reporting Act ( FCRA ) : 15 U.S. Code 1681i : This section mandates that credit reporting agencies ensure the accuracy of information in consumer files. Both XXXX and TransUnion have failed to uphold this obligation, allowing errors to persist despite clear evidence. 
15 U.S. Code 1681e ( b ) : Credit reporting agencies are required to follow reasonable procedures to assure maximum possible accuracy of the information concerning the individual about whom the report relates. This has not been adhered to in my case.

Truth in Lending Act ( TILA ) : 15 U.S. Code 1666b : Creditors are required to send periodic statements at least 21 days before the payment due date. The inaccuracies in the late payment reporting indicate a lack of compliance with this requirement. 
Protection Against Non-Payment of Obligations Act ( PAANL ) : The Protection Against Non-Payment of Obligations Act reinforces the responsibility of creditors to provide timely statements to consumers, preventing unfair penalties. The failure to correct these errors has caused significant harm to my creditworthiness and financial standing. 
Desired Resolution : Immediate removal of all inaccurate late payment notations and discrepancies for the XXXX XXXX account from both XXXX and TransUnion credit reports. 
Comprehensive review and correction of all account details to ensure accuracy across all credit bureaus. 
Written confirmation of these corrections from XXXX and TransUnion. 
Assurance that enhanced measures will be implemented to prevent similar errors in the future.

Failure to address and resolve this issue promptly will result in further escalation, including filing complaints with the Consumer Financial Protection Bureau ( CFPB ), contacting state attorneys general, and seeking legal action if necessary. 
Thank you for your prompt attention to this matter. I expect a detailed response and resolution within 30 days of receipt of this letter. 
Sincerely, XXXX XXXX XXXX"|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|TX|77061||Consent provided|Web|12/28/24|Closed with non-monetary relief|Yes||11292885
26|08/27/24|Credit reporting or other personal consumer reports|Credit reporting|Problem with a company's investigation into an existing problem|Investigation took more than 30 days|I am writing to formally dispute the inaccurate information on my credit report due to my recent victimization by XXXX XXXX. I have identified several accounts and/or pieces of information on my credit report that are incorrect and were not authorized by me.||EQUIFAX, INC.|AR|XXXXX||Consent provided|Web|08/27/24|Closed with explanation|Yes||9952018
27|10/10/24|Credit reporting or other personal consumer reports|Credit reporting|Incorrect information on your report|Personal information incorrect|"Upon reviewing my credit report I have identified certain information that is reporting incorrectly. Please make sure that the only information that is reporting in my credit report is the one mentioned stated below : My full name is : XXXX XXXX XXXX My correct date of birth : XX/XX/scrub>XXXX  My correct Social Security number:XXXX My correct address isXXXX XXXX XXXX XXXX # XXXX XXXX, Michigan XXXX My employer is : XXXXXXXX XXXX Please correct this typographical information immediately as it portrays me as a person engaging in fraudulent behavior. Also please delete all telephone numbers that appear in my credit report, as I have been a victim of robo-calls. 
Please not that I have opted out in writing to your forced arbitration terms and am willing to seek legal relief. 
Under Section 611 of the FCRA ( Fair Credit Reporting Act ), I expect you to delete these negative accounts and provide me with an updated report within 30 days."|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|MI|48911||Consent provided|Web|10/10/24|Closed with non-monetary relief|Yes||10411015
